"Month,Value,Difference"
"2014-05-01,14226.27,-859.2600000000002"
"2014-06-01,17898.55,3672.279999999999"
"2014-07-01,17083.31,-815.239999999998"
"2014-08-01,16070.01,-1013.3000000000011"
"2014-09-01,15928.48,-141.53000000000065"
"2014-10-01,16385.24,456.76000000000204"
"2014-11-01,12586.93,-3798.3100000000013"
"2014-12-01,9966.08,-2620.8500000000004"
"2015-01-01,7533.33,-2432.75"
"2015-02-01,6419.66,-1113.67"
"2015-03-01,5625.31,-794.3499999999995"
"2015-04-01,9969.92,4344.61"
"2015-05-01,9630.98,-338.9400000000005"
"2015-06-01,9918.09,287.1100000000006"
"2015-07-01,10263.7,345.6100000000006"
"2015-08-01,10375.39,111.68999999999869"
"2015-09-01,12616.67,2241.2800000000007"
"2015-10-01,12773.55,156.8799999999992"
"2015-11-01,12962.03,188.48000000000138"
"2015-12-01,13147.96,185.92999999999847"
"2016-01-01,13299.99,152.03000000000065"
"2016-02-01,13441.59,141.60000000000036"
"2016-03-01,13489.5,47.909999999999854"
"2016-04-01,12721.51,-767.9899999999998"
"2016-05-01,13240.95,519.4400000000005"
"2016-06-01,13536.57,295.619999999999"
"2016-07-01,13981.7,445.130000000001"
"2016-08-01,14082.0,100.29999999999927"
"2016-09-01,14103.63,21.6299999999992"
"2016-10-01,15588.74,1485.1100000000006"
"2016-11-01,15514.51,-74.22999999999956"
"2016-12-01,15270.87,-243.63999999999942"
"2017-01-01,15539.33,268.4599999999991"
"2017-02-01,15444.98,-94.35000000000036"
"2017-03-01,15460.3,15.319999999999709"
"2017-04-01,15123.3,-337.0"
"2017-05-01,17175.11,2051.8100000000013"
"2017-06-01,17617.89,442.77999999999884"
"2017-07-01,17971.2,353.3100000000013"
"2017-08-01,17795.26,-175.94000000000233"
"2017-09-01,18035.51,240.25"
"2017-10-01,18637.74,602.2300000000032"
"2017-11-01,18735.94,98.19999999999709"
"2017-12-01,18931.06,195.12000000000262"
"2018-01-01,18808.45,-122.61000000000058"
"2018-02-01,18580.34,-228.11000000000058"
"2018-03-01,18410.28,-170.0600000000013"
"2018-04-01,18191.9,-218.37999999999738"
"2018-05-01,18421.48,229.5799999999981"
"2018-06-01,18170.38,-251.09999999999854"
"2018-07-01,17978.57,-191.8100000000013"
"2018-08-01,17747.67,-230.90000000000146"
"2018-09-01,17229.83,-517.8399999999965"
"2018-10-01,16637.69,-592.140000000003"
"2018-11-01,16737.12,99.43000000000029"
"2018-12-01,17711.82,974.7000000000007"
"2019-01-01,20820.43,3108.6100000000006"
"2019-02-01,20819.71,-0.7200000000011642"
"2019-03-01,20220.46,-599.25"
"2019-04-01,20632.87,412.40999999999985"
"2019-05-01,20524.72,-108.14999999999782"
"2019-06-01,19402.08,-1122.6399999999994"
"2019-07-01,20638.97,1236.8899999999994"
"2019-08-01,21840.17,1201.199999999997"
"2019-09-01,22015.18,175.01000000000204"
"2019-10-01,21437.81,-577.369999999999"
"2019-11-01,21403.32,-34.4900000000016"
"2019-12-01,21931.62,528.2999999999993"
"2020-01-01,25302.16,3370.540000000001"
"2020-02-01,26293.07,990.9099999999999"
"2020-03-01,27042.41,749.3400000000001"
"2020-04-01,24923.75,-2118.66"
"2020-05-01,25695.05,771.2999999999993"
"2020-06-01,25373.81,-321.23999999999796"
"2020-07-01,28515.2,3141.3899999999994"
"2020-08-01,28802.49,287.2900000000009"
"2020-09-01,29048.75,246.2599999999984"
"2020-10-01,26525.75,-2523.0"
"2020-11-01,26140.39,-385.3600000000006"
"2020-12-01,26137.11,-3.279999999998836"
"2021-01-01,29132.89,2995.779999999999"
"2021-02-01,28820.91,-311.97999999999956"
"2021-03-01,28543.18,-277.72999999999956"
"2021-04-01,27034.79,-1508.3899999999994"
"2021-05-01,28000.06,965.2700000000004"
"2021-06-01,27840.23,-159.83000000000175"
"2021-07-01,28357.7,517.4700000000012"
"2021-08-01,28951.12,593.4199999999983"
"2021-09-01,31614.07,2662.9500000000007"
"2021-10-01,28706.11,-2907.959999999999"
"2021-11-01,29654.29,948.1800000000003"
"2021-12-01,30598.44,944.1499999999978"
"2022-01-01,30940.92,342.47999999999956"
